Player,Nation,Pos,Squad,Age,Born,MP,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Daniel Brosinski\Daniel-Brosinski,de GER,DF,Mainz 05,32-286,1988,18,1263,14,2,1,0,2,2,0,0,0.14,0.07,0.21,0,0.07,Matches
Cédric Brunner\Cedric-Brunner,ch SUI,DF,Arminia,27-071,1994,28,2385,26.5,0,1,0,0,0,5,0,0,0.04,0.04,0,0.04,Matches
Jacob Bruun Larsen\Jacob-Bruun-Larsen,dk DEN,FW,Hoffenheim,22-222,1998,2,89,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Marius Bülter\Marius-Bulter,de GER,FWMF,Union Berlin,28-031,1993,23,920,10.2,1,0,1,0,0,1,0,0.1,0,0.1,0.1,0.1,Matches
Jonathan Burkardt\Jonathan-Burkardt,de GER,FWDF,Mainz 05,20-292,2000,28,1297,14.4,2,0,2,0,0,0,0,0.14,0,0.14,0.14,0.14,Matches
Nishan Burkart\Nishan-Burkart,ch SUI,MF,Freiburg,21-088,2000,1,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Roman Bürki\Roman-Burki,ch SUI,GK,Dortmund,30-166,1990,16,1440,16,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Kerim Calhanoglu\Kerim-Calhanoglu,de GER,DF,Schalke 04,18-246,2002,4,296,3.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Daniel Caligiuri\Daniel-Caligiuri,it ITA,MFDF,Augsburg,33-104,1988,30,2577,28.6,5,4,4,1,1,5,0,0.17,0.14,0.31,0.14,0.28,Matches
Emre Can\Emre-Can,de GER,DFMF,Dortmund,27-107,1994,26,1953,21.7,1,4,1,0,0,5,0,0.05,0.18,0.23,0.05,0.23,Matches
Koen Casteels\Koen-Casteels,be BEL,GK,Wolfsburg,28-308,1992,30,2700,30,0,0,0,0,0,0,0,0,0,0,0,0,Matches
