Player,Nation,Pos,Squad,Age,Born,MP,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Giuseppe Cuomo\Giuseppe-Cuomo,it ITA,DF,Crotone,23-087,1998,11,692,7.7,0,0,0,0,0,4,0,0,0,0,0,0,Matches
Patrick Cutrone\Patrick-Cutrone,it ITA,FWMF,Fiorentina,23-117,1998,11,196,2.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Wylan Cyprien\Wylan-Cyprien,fr FRA,MF,Parma,26-092,1995,13,410,4.6,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Lennart-Marten Czyborra\Lennart-Marten-Czyborra,de GER,DF,Genoa,21-362,1999,17,1173,13,1,0,1,0,0,2,0,0.08,0,0.08,0.08,0.08,Matches
Danilo D'Ambrosio\Danilo-DAmbrosio,it ITA,DF,Inter,32-233,1988,16,429,4.8,3,0,3,0,0,2,0,0.63,0,0.63,0.63,0.63,Matches
Bryan Dabo\Bryan-Dabo,bf BFA,MF,Benevento,29-071,1992,21,813,9,0,0,0,0,0,5,0,0,0,0,0,0,Matches
Diogo Dalot\Diogo-Dalot,pt POR,DF,Milan,22-043,1999,16,929,10.3,1,1,1,0,0,4,0,0.1,0.1,0.19,0.1,0.19,Matches
Mikkel Damsgaard\Mikkel-Damsgaard,dk DEN,MFFW,Sampdoria,20-301,2000,31,1622,18,2,4,2,0,0,3,0,0.11,0.22,0.33,0.11,0.33,Matches
Danilo\Danilo,br BRA,DF,Juventus,29-289,1991,30,2579,28.7,1,4,1,0,0,5,0,0.03,0.14,0.17,0.03,0.17,Matches
Andrea Danzi\Andrea-Danzi,it ITA,MFDF,Hellas Verona,22-064,1999,2,104,1.2,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Matteo Darmian\Matteo-Darmian,it ITA,DF,Inter,31-149,1989,23,974,10.8,3,2,3,0,0,3,0,0.28,0.18,0.46,0.28,0.46,Matches
