Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Matches
Clément Grenier\Clement-Grenier,fr FRA,MF,Rennes,30-113,1991,11.3,3,0,0,26,16,0,17,11,8,0,0,0,96,Matches
Evann Guessand\Evann-Guessand,fr FRA,FW,Nice,19-303,2001,0.3,0,0,0,0,0,0,1,1,0,0,0,0,1,Matches
Kelyan Guessoum\Kelyan-Guessoum,fr FRA,DF,Nîmes,22-084,1999,12.3,2,0,0,6,13,0,1,21,8,1,0,0,77,Matches
Lamine Gueye\Lamine-Gueye,sn SEN,FWMF,Metz,23-048,1998,14.9,1,0,0,13,33,8,31,12,13,0,0,0,91,Matches
Pape Gueye\Pape-Gueye,fr FRA,MF,Marseille,22-096,1999,20.5,10,1,1,44,39,1,7,40,30,0,0,0,220,Matches
Frederic Guilbert\Frederic-Guilbert,fr FRA,DF,Strasbourg,26-127,1994,8.4,2,1,0,14,11,0,39,20,18,0,0,0,73,Matches
Bruno Guimarães\Bruno-Guimaraes,br BRA,MF,Lyon,23-165,1997,17.1,5,0,0,29,34,0,7,15,47,0,0,0,172,Matches
Sehrou Guirassy\Sehrou-Guirassy,fr FRA,FW,Rennes,25-049,1996,16.7,3,0,0,33,48,5,2,5,2,1,0,0,58,Matches
Malo Gusto\Malo-Gusto,fr FRA,MF,Lyon,17-346,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Massadio Haïdara\Massadio-Haidara,ml MLI,DF,Lens,28-149,1992,22.7,6,0,0,34,35,2,28,32,27,1,0,0,176,Matches
Pierre-Yves Hamel\Pierre-Yves-Hamel,fr FRA,FW,Lorient,27-086,1994,9,4,0,0,21,8,4,1,6,13,0,0,0,35,Matches
Romain Hamouma\Romain-Hamouma,fr FRA,FW,Saint-Étienne,34-032,1987,17.9,5,0,0,31,34,10,37,4,8,1,0,0,112,Matches
Dalbert Henrique\Dalbert-Henrique,br BRA,DF,Rennes,27-234,1993,3.4,3,0,0,8,2,0,11,1,4,0,0,0,36,Matches
Luis Henrique\Luis-Henrique,br BRA,DFFW,Marseille,19-137,2001,5,0,0,0,1,3,4,19,6,2,0,0,0,40,Matches
Christophe Hérelle\Christophe-Herelle,mq MTQ,DF,Brest,28-251,1992,15.3,4,0,0,18,16,1,2,16,10,0,0,1,138,Matches
Jérôme Hergault\Jerome-Hergault,fr FRA,DF,Lorient,35-025,1986,14.4,0,0,0,13,21,3,23,21,21,0,0,0,103,Matches
Ander Herrera\Ander-Herrera,es ESP,MF,Paris S-G,31-259,1989,17.5,3,0,0,25,14,0,11,22,32,0,0,0,142,Matches
Vitorino Hilton\Vitorino-Hilton,br BRA,DF,Montpellier,43-229,1977,20.5,3,2,0,17,11,0,0,35,5,0,1,0,177,Matches
Franck Honorat\Franck-Honorat,fr FRA,MFFW,Brest,24-262,1996,23.3,3,0,0,29,12,4,98,19,20,0,1,0,150,Matches
Fraser Hornby\Fraser-Hornby,sco SCO,FW,Reims,21-229,1999,0.4,1,0,0,1,0,0,0,1,0,0,0,0,1,Matches
Adrien Hunou\Adrien-Hunou,fr FRA,FWMF,Rennes,27-101,1994,6.5,1,0,0,7,8,1,8,1,7,0,0,0,22,Matches
Didier Ibrahim Ndong\Didier-Ibrahim-Ndong,ga GAB,MF,Dijon,26-317,1994,28,7,0,0,39,18,1,16,44,38,0,0,0,258,Matches
Mauro Icardi\Mauro-Icardi,ar ARG,FW,Paris S-G,28-070,1993,10.7,1,0,0,8,10,6,2,2,3,2,0,0,32,Matches
Jonathan Ikone\Jonathan-Ikone,fr FRA,MFFW,Lille,22-363,1998,23.4,0,0,0,12,22,6,11,10,13,0,0,0,110,Matches
Yun Il-lok\Yun-Il-lok,kr KOR,MFFW,Montpellier,29-054,1992,3.5,1,0,0,5,1,1,2,6,0,0,0,0,29,Matches
Corentin Jean\Corentin-Jean,fr FRA,FW,Lens,25-289,1995,5.8,3,0,0,14,14,2,7,2,7,2,0,0,27,Matches
Jesé\Jese,es ESP,FW,Paris S-G,28-063,1993,0.3,0,0,0,0,0,0,1,0,0,0,0,0,1,Matches
Stevan Joveti?\Stevan-Jovetic,me MNE,FWMF,Monaco,31-179,1989,8.9,1,0,0,16,14,4,15,7,9,1,0,0,71,Matches
Abdoul Kader Bamba\Abdoul-Kader-Bamba,fr FRA,FWMF,Nantes,27-005,1994,10.2,2,0,0,8,41,0,20,7,13,0,0,0,89,Matches
Tino Kadewere\Tino-Kadewere,zw ZIM,FW,Lyon,25-115,1996,21.3,3,0,0,31,24,10,33,24,25,1,0,0,120,Matches
Gaël Kakuta\Gael-Kakuta,cd COD,MFFW,Lens,29-313,1991,24.6,2,0,0,27,37,2,46,21,26,0,1,0,179,Matches
Arnaud Kalimuendo\Arnaud-Kalimuendo,fr FRA,FWMF,Lens,19-099,2002,12,0,0,0,12,22,0,13,1,5,2,0,0,50,Matches
Arnaud Kalimuendo\Arnaud-Kalimuendo,fr FRA,FW,Paris S-G,19-099,2002,0.8,0,0,0,0,3,1,0,0,0,0,0,0,1,Matches
Samuel Kalu\Samuel-Kalu,ng NGA,FW,Bordeaux,23-247,1997,10.1,3,0,0,16,36,5,16,9,18,0,0,0,59,Matches
Aboubakar Kamara\Aboubakar-Kamara,mr MTN,FWMF,Dijon,26-054,1995,4.7,1,1,0,9,14,1,9,1,3,0,0,0,25,Matches
Bingourou Kamara\Bingourou-Kamara,sn SEN,GK,Strasbourg,24-191,1996,8,0,0,0,1,1,1,0,0,0,0,0,1,44,Matches
Boubacar Kamara\Boubacar-Kamara,fr FRA,MF,Marseille,21-158,1999,28.6,6,0,0,42,48,0,6,32,62,0,0,0,313,Matches
Hassane Kamara\Hassane-Kamara,fr FRA,DF,Nice,26-223,1994,29.1,3,0,0,21,30,1,79,35,22,0,0,0,229,Matches
Wilfried Kanga\Wilfried-Kanga,fr FRA,FW,Angers,23-068,1998,1.5,0,0,0,2,1,1,1,0,0,0,0,0,2,Matches
Eiji Kawashima\Eiji-Kawashima,jp JPN,GK,Strasbourg,38-041,1983,22,1,0,0,1,1,0,0,0,0,0,1,0,95,Matches
Moise Kean\Moise-Kean,it ITA,FW,Paris S-G,21-061,2000,17.7,4,0,0,29,6,5,10,7,9,0,0,0,59,Matches
Thilo Kehrer\Thilo-Kehrer,de GER,DF,Paris S-G,24-221,1996,16.2,2,0,0,24,8,1,9,14,15,0,0,0,167,Matches
Saîf-Eddine Khaoui\Saif-Eddine-Khaoui,tn TUN,FWMF,Marseille,26-003,1995,6.7,4,0,0,16,9,1,10,18,10,0,0,0,66,Matches
