Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
505,Martin Terrier\Martin-Terrier,fr FRA,FWMF,Strasbourg,20,1997,18.6,3,0,0,25,28,8,20,11,26,1,0,0,104,19,28,40.4,Matches
506,Kenny Tete\Kenny-Tete,nl NED,DF,Lyon,21,1995,17.9,3,0,0,21,20,5,51,30,23,0,0,0,163,7,7,50,Matches
507,Florian Thauvin\Florian-Thauvin,fr FRA,FWMF,Marseille,24,1993,32.8,7,0,0,27,52,17,144,18,17,1,0,0,207,4,16,20,Matches
508,Kévin Théophile-Catherine\Kevin-Theophile-Catherine,fr FRA,DF,Saint-Étienne,27,1989,24.1,6,0,0,24,13,0,2,24,24,0,2,0,227,15,7,68.2,Matches
509,Vincent Thill\Vincent-Thill,lu LUX,MFFW,Metz,17,2000,0.3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,,Matches
510,Romain Thomas\Romain-Thomas,fr FRA,DF,Angers,29,1988,27.4,5,0,0,23,25,3,1,26,21,0,2,1,303,30,16,65.2,Matches
511,Adrien Thomasson\Adrien-Thomasson,fr FRA,MFFW,Nantes,23,1993,28.7,4,0,0,26,33,7,51,32,44,1,0,0,253,4,9,30.8,Matches
512,Marcus Thuram\Marcus-Thuram,fr FRA,FW,Guingamp,19,1997,21.5,2,0,0,48,39,17,27,4,10,3,0,0,92,28,24,53.8,Matches
513,Youri Tielemans\Youri-Tielemans,be BEL,MF,Monaco,20,1997,17.4,1,0,0,36,26,0,11,23,20,0,0,0,196,15,12,55.6,Matches
514,Jonathan Tinhan\Jonathan-Tinhan,bj BEN,FWMF,Troyes,28,1989,0.8,1,0,0,1,1,0,0,0,0,0,0,0,6,0,3,0,Matches
515,Ola Toivonen\Ola-Toivonen,se SWE,FWMF,Toulouse,31,1986,8.9,2,0,0,23,9,7,7,0,4,1,0,0,58,16,10,61.5,Matches
516,Karl Toko Ekambi\Karl-Toko-Ekambi,cm CMR,FWMF,Angers,24,1992,33.8,4,0,0,31,33,28,34,12,6,2,0,0,112,5,22,18.5,Matches
517,Jérémy Toulalan\Jeremy-Toulalan,fr FRA,DF,Bordeaux,33,1983,21,3,0,0,21,15,0,2,24,35,0,1,1,232,9,3,75,Matches
518,Abdoulaye Touré\Abdoulaye-Toure,fr FRA,MF,Nantes,23,1994,31.2,3,0,0,51,53,0,16,71,55,1,0,0,414,31,16,66,Matches
519,Almamy Touré\Almamy-Toure,ml MLI,DF,Monaco,21,1996,13.9,3,0,0,21,4,2,34,19,23,0,1,0,139,14,13,51.9,Matches
520,Thomas Touré\Thomas-Toure,ci CIV,MF,Bordeaux,23,1993,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
521,Thomas Touré\Thomas-Toure,ci CIV,MF,Angers,23,1993,1.4,1,0,0,3,0,1,1,2,0,0,0,0,12,0,1,0,Matches
522,Lucas Tousart\Lucas-Tousart,fr FRA,MF,Lyon,20,1997,34.8,8,0,0,46,20,0,3,48,55,0,1,0,388,39,25,60.9,Matches
523,Adama Traoré\Adama-Traore,ml MLI,MFFW,Monaco,22,1995,2.1,1,0,0,1,6,0,0,3,1,0,0,0,14,0,1,0,Matches
524,Bertrand Traoré\Bertrand-Traore,bf BFA,FW,Lyon,21,1995,25.4,3,0,0,25,34,7,37,42,10,1,0,0,134,14,9,60.9,Matches
525,Charles Traore\Charles-Traore,ml MLI,DF,Troyes,25,1992,33.3,8,1,0,30,29,1,55,66,31,0,0,0,333,19,12,61.3,Matches
526,Hamari Traoré\Hamari-Traore,ml MLI,DF,Rennes,25,1992,29.3,10,0,0,42,37,2,51,52,35,0,0,0,338,20,11,64.5,Matches
527,Ismaël Traoré\Ismael-Traore,ci CIV,DF,Angers,30,1986,31.7,2,0,0,22,5,0,1,39,32,0,1,1,321,16,14,53.3,Matches
528,Lacina Traoré\Lacina-Traore,ci CIV,FW,Amiens,27,1990,8.7,1,0,0,24,17,9,5,3,8,1,0,0,37,31,23,57.4,Matches
529,Kevin Trapp\Kevin-Trapp,de GER,GK,Paris S-G,27,1990,4,0,0,0,1,1,0,0,0,0,0,0,0,21,0,0,,Matches
530,Matthieu Udol\Matthieu-Udol,fr FRA,DF,Metz,21,1996,4,0,0,0,8,1,0,9,6,5,0,0,0,34,0,0,,Matches
531,Valentín Vada\Valentin-Vada,ar ARG,MFFW,Bordeaux,21,1996,9.6,4,0,0,15,21,1,17,7,17,0,0,0,79,0,4,0,Matches
532,Cédric Varrault\Cedric-Varrault,fr FRA,DF,Dijon,37,1980,9.8,0,0,0,5,9,0,0,14,4,0,0,0,102,10,4,71.4,Matches
533,Rémy Vercoutre\Remy-Vercoutre,fr FRA,GK,Caen,37,1980,34.5,1,1,0,1,4,0,0,0,0,0,0,1,132,0,0,,Matches
534,Olivier Verdon\Olivier-Verdon,bj BEN,DF,Bordeaux,21,1995,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100,Matches
535,Marco Verratti\Marco-Verratti,it ITA,MF,Paris S-G,24,1992,19.1,9,2,1,29,53,1,4,30,30,0,0,0,143,4,3,57.1,Matches
536,Oswaldo Vizcarrondo\Oswaldo-Vizcarrondo,ve VEN,DF,Troyes,33,1984,19.1,7,2,1,22,10,0,0,10,11,0,1,0,212,21,15,58.3,Matches
537,Anthony Walongwa\Anthony-Walongwa,cd COD,DF,Nantes,23,1993,1,0,0,0,1,0,0,0,0,0,0,0,0,15,1,1,50,Matches
538,Rémi Walter\Remi-Walter,fr FRA,MFFW,Nice,22,1995,5.5,0,0,0,6,0,0,1,8,5,0,0,0,46,4,3,57.1,Matches
539,Rémi Walter\Remi-Walter,fr FRA,MF,Troyes,22,1995,11.1,1,0,0,13,7,0,4,14,7,0,0,0,157,6,14,30,Matches
540,Timothy Weah\Timothy-Weah,us USA,FW,Paris S-G,17,2000,1.4,1,0,0,2,0,1,2,0,0,0,0,0,2,0,0,,Matches
541,Xeka\Xeka,pt POR,MF,Dijon,22,1994,15.5,4,0,0,28,30,1,25,20,19,0,1,0,135,6,8,42.9,Matches
542,Xeka\Xeka,pt POR,MF,Lille,22,1994,0.2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,,Matches
543,Steeve Yago\Steeve-Yago,bf BFA,DF,Toulouse,24,1992,17.5,7,0,0,37,25,1,13,36,22,0,0,0,159,7,8,46.7,Matches
544,Cédric Yamberé\Cedric-Yambere,cf CTA,DF,Dijon,26,1990,31.5,7,2,0,29,32,0,4,28,32,0,3,1,314,20,20,50,Matches
545,Mapou Yanga-Mbiwa\Mapou-Yanga-Mbiwa,fr FRA,DF,Lyon,28,1989,1.4,1,0,0,1,1,0,0,0,3,0,0,0,14,0,1,0,Matches
546,Zaydou Youssouf\Zaydou-Youssouf,fr FRA,FW,Bordeaux,18,1999,1.5,2,0,0,2,3,0,1,2,1,0,0,0,10,1,1,50,Matches
547,Andre-Frank Zambo Anguissa\Andre-Frank-Zambo-Anguissa,cm CMR,MF,Marseille,21,1995,27.1,5,0,0,49,57,0,10,57,61,0,0,0,379,38,20,65.5,Matches
548,Mehdi Zeffane\Mehdi-Zeffane,dz ALG,DFFW,Rennes,25,1992,11,0,0,0,7,4,1,16,12,8,0,0,0,99,2,4,33.3,Matches
549,Erwin Zelazny\Erwin-Zelazny,fr FRA,GK,Troyes,25,1991,17,2,0,0,1,5,0,0,0,0,0,0,0,77,0,0,,Matches
550,Kévin Zohi\Kevin-Zohi,ml MLI,MF,Strasbourg,20,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
551,Bongani Zungu\Bongani-Zungu,za RSA,MF,Amiens,24,1992,23.2,5,0,0,31,24,0,6,38,26,0,0,0,279,17,10,63,Matches
