Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Matches
Jessic Ngankam\Jessic-Ngankam,de GER,FW,Hertha BSC,20-283,2000,1.4,1,0,0,5,2,0,1,0,2,0,0,0,4,Matches
Moussa Niakhate\Moussa-Niakhate,fr FRA,DF,Mainz 05,25-052,1996,27.8,10,1,1,43,10,1,20,28,30,0,3,0,264,Matches
Florian Niederlechner\Florian-Niederlechner,de GER,FW,Augsburg,30-187,1990,16.6,3,1,1,23,36,20,8,4,7,0,1,0,72,Matches
Joakim Nilsson\Joakim-Nilsson,se SWE,DF,Arminia,27-082,1994,21,1,0,0,11,13,1,1,25,25,0,0,1,196,Matches
Christopher Nkunku\Christopher-Nkunku,fr FRA,FWMF,RB Leipzig,23-166,1997,19.6,2,0,0,37,47,15,47,10,15,1,0,0,116,Matches
Håvard Nordtveit\Havard-Nordtveit,no NOR,DF,Hoffenheim,30-312,1990,7.8,1,0,0,5,7,0,0,5,2,0,1,0,86,Matches
Kasim Nuhu\Kasim-Nuhu,gh GHA,DF,Hoffenheim,25-311,1995,11,0,0,0,12,6,0,2,9,7,0,1,2,129,Matches
Bastian Oczipka\Bastian-Oczipka,de GER,DF,Schalke 04,32-107,1989,17.4,1,0,0,11,13,1,40,25,21,0,0,0,145,Matches
Masaya Okugawa\Masaya-Okugawa,jp JPN,MFFW,Arminia,25-015,1996,7.5,0,0,0,1,5,2,3,6,8,0,0,0,50,Matches
Dani Olmo\Dani-Olmo,es ESP,MFFW,RB Leipzig,22-357,1998,23.4,1,0,0,20,38,2,23,23,22,1,0,0,222,Matches
Karim Onisiwo\Karim-Onisiwo,at AUT,FW,Mainz 05,29-043,1992,16.9,2,0,0,31,27,14,30,7,19,1,0,0,90,Matches
Willi Orban\Willi-Orban,hu HUN,DF,RB Leipzig,28-177,1992,23.3,4,0,0,15,14,3,4,29,22,1,0,0,295,Matches
Stefan Ortega\Stefan-Ortega,de GER,GK,Arminia,28-174,1992,31,1,0,0,0,1,0,0,0,1,0,0,0,228,Matches
Yuya Osako\Yuya-Osako,jp JPN,FWMF,Werder Bremen,30-346,1990,7.6,3,0,0,14,12,5,5,6,8,0,0,0,44,Matches
Paulo Otávio\Paulo-Otavio,br BRA,DF,Wolfsburg,26-157,1994,16.4,7,1,0,24,29,0,51,36,34,0,0,0,164,Matches
Reece Oxford\Reece-Oxford,eng ENG,DF,Augsburg,22-134,1998,12.1,2,0,0,12,11,0,1,29,13,0,2,0,100,Matches
Salih Özcan\Salih-Ozcan,de GER,MFFW,Köln,23-108,1998,14,3,0,0,28,39,3,10,18,13,0,1,0,152,Matches
Levin Öztunal?\Levin-Oztunali,de GER,DFFW,Mainz 05,25-045,1996,8.2,0,0,0,8,5,4,18,13,16,0,0,0,57,Matches
Gonçalo Paciência\Goncalo-Paciencia,pt POR,FW,Schalke 04,26-271,1994,7.1,2,0,0,15,10,9,9,2,6,0,0,0,24,Matches
Exequiel Palacios\Exequiel-Palacios,ar ARG,MF,Leverkusen,22-206,1998,5.5,1,0,0,7,14,0,1,13,15,0,0,0,59,Matches
Matondo-Merveille Papela\Matondo-Merveille-Papela,de GER,DF,Mainz 05,20-101,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Felix Passlack\Felix-Passlack,de GER,DF,Dortmund,22-335,1998,3.8,0,0,0,4,6,1,6,4,8,0,0,0,39,Matches
Benjamin Pavard\Benjamin-Pavard,fr FRA,DF,Bayern Munich,25-032,1996,19.6,3,0,0,17,19,0,49,28,24,0,1,0,189,Matches
Ji?í Pavlenka\Jiri-Pavlenka,cz CZE,GK,Werder Bremen,29-015,1992,31,2,0,0,2,3,0,0,0,0,0,1,0,159,Matches
Mads Pedersen\Mads-Pedersen,dk DEN,DF,Augsburg,24-240,1996,9.3,1,0,0,13,14,0,11,14,16,1,1,0,90,Matches
Peter Pekarík\Peter-Pekarik,sk SVK,DF,Hertha BSC,34-181,1986,15.8,4,0,0,9,20,1,31,13,11,0,0,0,131,Matches
Philipp Pentke\Philipp-Pentke,de GER,GK,Hoffenheim,35-363,1985,1,0,0,0,0,0,0,0,0,0,0,0,0,5,Matches
Pavao Pervan\Pavao-Pervan,at AUT,GK,Wolfsburg,33-167,1987,1,0,0,0,0,0,0,0,0,0,0,0,0,3,Matches
