Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Matches
Y?ld?r?m Mert Çetin\Yildirim-Mert-Cetin,tr TUR,DF,Hellas Verona,24-119,1997,4.6,1,0,0,6,4,0,1,13,4,0,0,0,61,Matches
Dries Mertens\Dries-Mertens,be BEL,FWMF,Napoli,33-359,1987,15.4,2,0,0,16,9,5,32,8,15,0,0,0,67,Matches
Junior Messias\Junior-Messias,br BRA,FWMF,Crotone,29-352,1991,31.7,6,0,0,31,84,5,56,28,37,1,0,0,212,Matches
Valentin Mihaila\Valentin-Mihaila,ro ROU,FWMF,Parma,21-087,2000,7.8,2,0,0,5,8,5,12,4,3,1,0,0,37,Matches
Nikola Milenkovi?\Nikola-Milenkovic,rs SRB,DF,Fiorentina,23-200,1997,29.7,5,1,0,50,15,0,3,28,38,0,0,0,308,Matches
Sergej Milinkovi?-Savi?\Sergej-Milinkovic-Savic,rs SRB,MF,Lazio,26-062,1995,27.7,4,0,0,53,47,9,40,31,38,2,2,0,230,Matches
Vanja Milinkovi?-Savi?\Vanja-Milinkovic-Savic,rs SRB,GK,Torino,24-069,1997,5,0,1,0,0,2,0,0,0,1,0,0,0,28,Matches
Vincenzo Millico\Vincenzo-Millico,it ITA,FWMF,Torino,20-261,2000,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,Matches
Aleksei Miranchuk\Aleksei-Miranchuk,ru RUS,MFFW,Atalanta,25-195,1995,5.8,0,0,0,15,11,2,8,5,8,0,0,0,62,Matches
Antonio Mirante\Antonio-Mirante,it ITA,GK,Roma,37-296,1983,12.8,2,0,0,0,2,0,0,0,0,0,0,0,83,Matches
Henrikh Mkhitaryan\Henrikh-Mkhitaryan,am ARM,FWMF,Roma,32-099,1989,25.5,2,0,0,31,41,9,35,31,30,1,0,0,185,Matches
Johan Mojica\Johan-Mojica,co COL,DFFW,Atalanta,28-252,1992,3.3,1,0,0,4,1,0,13,2,5,0,1,0,40,Matches
Nahuel Molina\Nahuel-Molina,ar ARG,DF,Udinese,23-149,1997,15.3,1,0,0,13,9,3,56,21,18,0,2,0,111,Matches
Salvatore Molina\Salvatore-Molina,it ITA,MFDF,Crotone,29-119,1992,20.7,1,0,0,20,37,0,40,18,20,0,0,0,189,Matches
