Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,21-091,2000,8.3,0,0,0,5,13,8,2,0,5,1,0,0,27,11,30,26.8,Matches
Liam Cooper\Liam-Cooper,sco SCO,DF,Leeds United,29-242,1991,22.3,3,1,0,19,27,1,0,44,45,0,0,0,288,97,48,66.9,Matches
Jack Cork\Jack-Cork,eng ENG,MF,Burnley,31-308,1989,10.2,2,0,0,17,9,0,3,11,12,0,0,0,93,22,14,61.1,Matches
Hélder Costa\Helder-Costa,pt POR,MFFW,Leeds United,27-107,1994,12.8,0,0,0,20,18,3,16,6,15,0,0,1,69,4,25,13.8,Matches
Vladimír Coufal\Vladimir-Coufal,cz CZE,DF,West Ham,28-250,1992,28.9,3,0,0,28,31,0,79,34,40,0,0,0,269,43,37,53.8,Matches
Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,31-135,1989,30.6,3,0,0,11,15,0,76,28,12,0,0,0,272,32,26,55.2,Matches
Patrick Cutrone\Patrick-Cutrone,it ITA,FWMF,Wolves,23-116,1998,0.3,0,0,0,0,1,0,0,0,0,0,0,0,2,1,2,33.3,Matches
Stuart Dallas\Stuart-Dallas,nir NIR,DFMF,Leeds United,30-010,1991,32.9,6,0,0,39,44,0,47,51,47,0,0,0,310,33,33,50,Matches
Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,34-074,1987,13,1,0,0,4,6,0,0,7,7,0,0,0,139,44,34,56.4,Matches
Karl Darlow\Karl-Darlow,eng ENG,GK,Newcastle Utd,30-203,1990,25,3,0,0,0,3,0,0,1,0,0,0,0,103,0,0,,Matches
Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,28-005,1993,15,1,0,0,19,14,1,24,13,13,1,0,0,101,34,20,63,Matches
Tom Davies\Tom-Davies,eng ENG,MF,Everton,22-303,1998,13.7,3,0,0,25,25,0,5,29,25,0,1,0,115,9,15,37.5,Matches
Keinan Davis\Keinan-Davis,eng ENG,FWMF,Aston Villa,23-075,1998,1.8,0,0,0,1,2,0,4,0,3,0,0,0,9,10,8,55.6,Matches
Leif Davis\Leif-Davis,eng ENG,DF,Leeds United,21-107,2000,0.4,0,0,0,1,0,0,0,2,0,0,0,0,2,0,1,0,Matches
