Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Paul-Georges Ntep\Paul-Georges-Ntep,cm CMR,FWMF,Wolfsburg,25,1992,1.8,2,1,1,0,5,2,9,1,2,0,0,0,10,0,2,0,Matches
Alexander Nübel\Alexander-Nubel,de GER,GK,Schalke 04,20,1996,0.5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,Matches
Philipp Ochs\Philipp-Ochs,de GER,FWDF,Hoffenheim,20,1997,0.8,0,0,0,3,0,1,2,0,1,0,0,0,9,0,1,0,Matches
Bastian Oczipka\Bastian-Oczipka,de GER,DFMF,Schalke 04,28,1989,25.8,2,0,0,20,51,2,78,21,29,0,1,0,219,13,20,39.4,Matches
Ebenezer Ofori\Ebenezer-Ofori,gh GHA,MF,Stuttgart,22,1995,0.1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches
Kwasi Okyere Wriedt\Kwasi-Okyere-Wriedt,gh GHA,MF,Bayern Munich,23,1994,0.3,0,0,0,0,0,0,1,0,2,0,0,0,2,0,1,0,Matches
Pawe? Olkowski\Pawel-Olkowski,pl POL,DF,Köln,27,1990,5,1,0,0,9,4,0,11,2,10,0,1,0,49,5,4,55.6,Matches
Karim Onisiwo\Karim-Onisiwo,at AUT,DFFW,Mainz 05,25,1992,2.8,0,0,0,9,9,1,4,4,5,0,0,0,26,7,4,63.6,Matches
Daniel Opare\Daniel-Opare,gh GHA,DFMF,Augsburg,26,1990,15.7,6,0,0,20,22,0,34,23,20,0,0,0,178,17,18,48.6,Matches
Willi Orban\Willi-Orban,hu HUN,DF,RB Leipzig,24,1992,23.6,5,1,0,27,32,3,4,10,30,0,0,0,358,109,56,66.1,Matches
Divock Origi\Divock-Origi,be BEL,FW,Wolfsburg,22,1995,21.9,2,0,0,31,39,17,13,2,2,0,0,0,63,37,69,34.9,Matches
Yuya Osako\Yuya-Osako,jp JPN,FWMF,Köln,27,1990,21.1,3,1,1,24,40,8,21,8,8,0,0,0,121,22,51,30.1,Matches
Victor Osimhen\Victor-Osimhen,ng NGA,FWMF,Wolfsburg,18,1998,3.2,0,0,0,9,8,2,4,2,1,0,0,0,22,20,30,40,Matches
Matthias Ostrzolek\Matthias-Ostrzolek,de GER,DF,Hannover 96,27,1990,26.4,5,0,0,30,35,1,53,19,31,1,0,0,233,18,25,41.9,Matches
Anas Ouahim\Anas-Ouahim,de GER,FW,Köln,19,1997,0.2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,,Matches
Reece Oxford\Reece-Oxford,eng ENG,DFMF,M'Gladbach,18,1998,5.1,1,0,0,9,5,0,3,3,5,0,0,0,61,19,12,61.3,Matches
Berkay Özcan\Berkay-Ozcan,tr TUR,FWMF,Stuttgart,19,1998,11.1,1,0,0,8,9,1,12,3,9,0,0,0,72,12,32,27.3,Matches
Ramazan Özcan\Ramazan-Ozcan,at AUT,GK,Leverkusen,33,1984,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,Matches
