Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Sandro Ramírez\Sandro-Ramirez,es ESP,FWMF,Huesca,25-294,1995,9.5,1,0,0,15,38,5,13,11,10,0,0,0,47,8,20,28.6,Matches
Sergio Ramos\Sergio-Ramos,es ESP,DF,Real Madrid,35-030,1986,14.2,3,0,0,17,6,2,5,16,12,1,1,0,153,29,22,56.9,Matches
Recio\Recio,es ESP,MFFW,Eibar,30-108,1991,6.4,5,0,0,15,18,0,14,4,9,0,0,0,61,8,14,36.4,Matches
Francisco Reis Ferreira\Francisco-Reis-Ferreira,pt POR,DF,Valencia,24-034,1997,1,0,0,0,0,0,0,0,1,0,0,0,0,8,0,1,0,Matches
Karim Rekik\Karim-Rekik,nl NED,DF,Sevilla,26-148,1994,6.3,2,0,0,17,4,1,8,5,7,0,0,0,29,13,4,76.5,Matches
Álex Remiro\Alex-Remiro,es ESP,GK,Real Sociedad,26-036,1995,33,0,0,0,0,7,0,0,0,0,0,0,0,154,0,0,,Matches
Oriol Rey\Oriol-Rey,es ESP,MF,Valladolid,23-063,1998,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,Matches
Ricard\Ricard,es ESP,DF,Atlético Madrid,21-066,2000,0.3,0,0,0,0,0,0,2,0,1,0,0,0,2,0,1,0,Matches
Mikel Rico\Mikel-Rico,es ESP,MF,Huesca,36-176,1984,20.6,1,0,0,16,18,2,23,17,12,0,0,0,170,14,20,41.2,Matches
Emiliano Rigoni\Emiliano-Rigoni,ar ARG,MFFW,Elche,28-084,1993,12.6,5,0,0,21,8,7,26,5,10,0,0,0,55,6,12,33.3,Matches
Luis Rioja\Luis-Rioja,es ESP,MFDF,Alavés,27-195,1993,19.9,3,0,0,17,24,5,52,25,11,1,0,0,126,15,33,31.3,Matches
Rober\Rober,es ESP,DFMF,Levante,26-072,1995,10.9,3,1,0,15,3,1,0,24,12,0,0,0,95,18,22,45,Matches
Roberto\Roberto,es ESP,GK,Valladolid,35-078,1986,11,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,,Matches
Sergi Roberto\Sergi-Roberto,es ESP,DF,Barcelona,29-081,1992,8.7,1,0,0,6,10,1,6,5,7,0,0,0,77,7,9,43.8,Matches
Joel Robles\Joel-Robles,es ESP,GK,Betis,30-316,1990,18,2,0,0,1,1,0,0,0,0,0,1,0,89,0,0,,Matches
Rubén Rochina\Ruben-Rochina,es ESP,MF,Levante,30-037,1991,15.3,5,0,0,37,30,0,27,19,29,0,0,0,148,21,13,61.8,Matches
